Date,BLL,DISH,DVA,NEM,UDR,VFC
5/21/2012,18.04626083,27.86636353,42.40000153,38.9901886,18.72018242,25.84076881
5/22/2012,17.94976234,27.73014641,40.125,38.84202576,18.91398811,26.29501534
5/23/2012,18.16574287,27.60365868,40.19499969,39.97789383,18.88527679,26.27993774
5/24/2012,18.31739044,27.73987579,41.00999832,40.02728271,18.90681458,26.69082832
5/25/2012,18.32658195,27.47716904,40.88000107,40.18367767,18.7704277,26.61354637
5/29/2012,18.54717064,28.19717979,41.34999847,39.65687943,19.10061646,27.05459785
5/30/2012,18.42738533,27.70095634,40.82500076,39.37703705,18.55508995,26.54192543
5/31/2012,18.41356087,27.282573699999997,40.625,38.81733322,18.59097672,26.58339310000001
6/1/2012,18.118719100000003,26.24147415,40.11500168,41.40185547,18.1961956,25.32245255
6/4/2012,18.21546936,26.12471771,40.52999878,42.43072891,18.10287857,25.66360283
6/5/2012,18.28457451,26.35823441,41.27500153,42.26610565,18.45459938,26.00852585
6/6/2012,18.68536568,27.06851387,41.91500092,42.55419159,18.74889183,26.43483162
6/7/2012,18.58401489,26.90310669,42.15000153,41.72286606,18.46177101,26.39503479
6/8/2012,18.95717239,27.14635277,42.79999924,41.67314148,18.67711449,26.46515083
6/11/2012,18.77750015,26.77661896,42.46500015,41.01008606,18.18183517,26.15820313
6/12/2012,18.96638298,26.72796822,42.97499847,41.87206268,18.46895599,26.52199364
6/13/2012,18.93413734,26.22201729,43.49000168,42.03782272,18.24643898,26.16199493
6/14/2012,19.14605904,26.48472214,44.05500031,42.01295089999999,18.63405037,26.47841644
6/15/2012,19.69426727,27.02959633,44.68999863,41.67314148,18.74172211,26.69818687
6/18/2012,19.57448769,26.87391853,45.75,42.145557399999994,18.76324654,26.74745178
6/19/2012,19.67584038,27.27284241,46.77000046,42.0212326,18.72018242,26.98617935
6/20/2012,19.55145264,27.68149757,46.89500046,41.7394371,18.57662773,26.99944687
6/21/2012,19.10920334,27.09770393,45.92499924,39.61765289,18.24643898,26.50304222
6/22/2012,19.18291092,27.60365868,47.29999924,39.7502594,18.10287857,27.20029831
6/25/2012,18.61626625,26.26093483,47.15000153,40.43819046,17.96649361,26.55420303
6/26/2012,18.44120407,26.35823441,47.02999878,39.73368835,17.96649361,26.26998901
6/27/2012,18.50109863,26.56256104,47.65499878,39.90775681,17.887537,26.24726295
6/28/2012,18.68997192,26.80580711,48.35499954,39.05406189,18.02392197,25.38895798
6/29/2012,18.91110802,27.77879524,49.10499954,40.20611954,18.54791451,25.28474808
7/2/2012,18.66694069,27.94420242,48.81000137,40.18955231,18.84938812,24.9910717
7/3/2012,18.91110802,28.07069206,48.85499954,41.21727753,18.83503532,24.88117599
7/5/2012,18.8005352,27.76906586,48.78499985,40.64539719,18.79196167,25.55000305
7/6/2012,18.69458008,27.71068573,48.31499863,39.7088356,18.84263611,25.57843399
7/9/2012,18.64850998,27.49662971,48.68000031,39.55134964,18.93673706,25.38895798
7/10/2012,18.78671455,27.00040627,48.36500168,38.47388458,18.68338394,26.00284195
7/11/2012,18.602443700000002,26.07606697,48.70000076,38.10920334,18.63270378,25.70916557
7/12/2012,18.45042229,25.59930229,48.88999939,37.67821884,18.88607216,25.78873444
7/13/2012,18.99402237,26.5917511,49.49000168,38.25840378,19.24077034,26.50114632
7/16/2012,18.88807297,26.87391853,49.45000076,37.71136856,19.26972771,26.37420082
